geom_id,pose_id,recomputed_ocs_total,ref_ocs_total,rel_diff,verdict
G0_baseline,A_top1,0.2088904942,0.2088904828,5.488e-08,OK
G0_baseline,B_R4,0.2011461250,0.2011461258,4.180e-09,OK
G0_baseline,C_R3,0.0662576315,0.0662576333,2.691e-08,OK
G0_baseline,D1,0.2083770065,0.2083770037,1.381e-08,OK
G0_baseline,D2,0.2079097220,0.2079097033,9.020e-08,OK
G0_baseline,D3,0.2056014477,0.2056014389,4.285e-08,OK
G0_baseline,D4,0.2036833659,0.2036833614,2.207e-08,OK
G0_baseline,D5_roll125,0.1978039768,0.1978039742,1.349e-08,OK
G0_baseline,D6_roll175,0.1952632300,0.1952632368,3.461e-08,OK
G0_baseline,E1_R4roll-15,0.2018225626,0.2018225491,6.695e-08,OK
G0_baseline,E2_R4roll+15,0.1974040957,0.1974040866,4.615e-08,OK
G0_baseline,F1_edge,0.1992752300,0.1992752254,2.319e-08,OK
G0_baseline,F2_edge,0.1982623048,0.1982622892,7.866e-08,OK
G0_baseline,F3_edge,0.1971308232,0.1971308291,2.995e-08,OK
G1_sun_plus,A_top1,0.1695914704,0.1695914567,8.092e-08,OK
G1_sun_plus,B_R4,0.1718257263,0.1718257219,2.571e-08,OK
G1_sun_plus,C_R3,0.1309957717,0.1309957653,4.901e-08,OK
G1_sun_plus,D1,0.1727713209,0.1727713197,6.672e-09,OK
G1_sun_plus,D2,0.1761337307,0.1761337221,4.886e-08,OK
G1_sun_plus,D3,0.1883013555,0.1883013397,8.342e-08,OK
G1_sun_plus,D4,0.1559930751,0.1559930593,1.013e-07,OK
G1_sun_plus,D5_roll125,0.1952824050,0.1952823997,2.721e-08,OK
G1_sun_plus,D6_roll175,0.1381877596,0.1381877661,4.665e-08,OK
G1_sun_plus,E1_R4roll-15,0.1724721345,0.1724721193,8.814e-08,OK
G1_sun_plus,E2_R4roll+15,0.1683526041,0.1683525890,8.944e-08,OK
G1_sun_plus,F1_edge,0.1581010810,0.1581010818,5.319e-09,OK
G1_sun_plus,F2_edge,0.1685444160,0.1685444266,6.268e-08,OK
G1_sun_plus,F3_edge,0.1427587761,0.1427587718,3.032e-08,OK
G2_sun_minus,A_top1,0.1807215152,0.1807215065,4.807e-08,OK
G2_sun_minus,B_R4,0.1631290725,0.1631290615,6.776e-08,OK
G2_sun_minus,C_R3,0.0395371496,0.0395371467,7.401e-08,OK
G2_sun_minus,D1,0.1766311415,0.1766311228,1.056e-07,OK
G2_sun_minus,D2,0.1727197533,0.1727197468,3.742e-08,OK
G2_sun_minus,D3,0.1575345507,0.1575345546,2.467e-08,OK
G2_sun_minus,D4,0.1884208274,0.1884208173,5.406e-08,OK
G2_sun_minus,D5_roll125,0.1411407011,0.1411406845,1.174e-07,OK
G2_sun_minus,D6_roll175,0.1949306163,0.1949306130,1.691e-08,OK
G2_sun_minus,E1_R4roll-15,0.1640557291,0.1640557200,5.554e-08,OK
G2_sun_minus,E2_R4roll+15,0.1600990809,0.1600990891,5.152e-08,OK
G2_sun_minus,F1_edge,0.1790189128,0.1790189147,1.052e-08,OK
G2_sun_minus,F2_edge,0.1626288385,0.1626288295,5.525e-08,OK
G2_sun_minus,F3_edge,0.1944742416,0.1944742352,3.309e-08,OK
G3_view_plus,A_top1,0.1875115940,0.1875115931,4.544e-09,OK
G3_view_plus,B_R4,0.1689455855,0.1689455658,1.163e-07,OK
G3_view_plus,C_R3,0.0397935134,0.0397935137,7.616e-09,OK
G3_view_plus,D1,0.1811452836,0.1811452806,1.641e-08,OK
G3_view_plus,D2,0.1755050764,0.1755050868,5.933e-08,OK
G3_view_plus,D3,0.1644652653,0.1644652635,1.073e-08,OK
G3_view_plus,D4,0.1903163094,0.1903163046,2.524e-08,OK
G3_view_plus,D5_roll125,0.1489721720,0.1489721686,2.278e-08,OK
G3_view_plus,D6_roll175,0.2049153142,0.2049153298,7.618e-08,OK
G3_view_plus,E1_R4roll-15,0.1687438997,0.1687438935,3.645e-08,OK
G3_view_plus,E2_R4roll+15,0.1665172520,0.1665172577,3.391e-08,OK
G3_view_plus,F1_edge,0.1765480288,0.1765480191,5.533e-08,OK
G3_view_plus,F2_edge,0.1749292293,0.1749292314,1.228e-08,OK
G3_view_plus,F3_edge,0.1950487709,0.1950487643,3.372e-08,OK
G4_view_minus,A_top1,0.1639658218,0.1639658213,3.175e-09,OK
G4_view_minus,B_R4,0.1637257883,0.1637257785,6.007e-08,OK
G4_view_minus,C_R3,0.1324436907,0.1324436814,7.038e-08,OK
G4_view_minus,D1,0.1683293675,0.1683293432,1.443e-07,OK
G4_view_minus,D2,0.1735908402,0.1735908240,9.321e-08,OK
G4_view_minus,D3,0.1811197354,0.1811197251,5.663e-08,OK
G4_view_minus,D4,0.1520997845,0.1520997882,2.429e-08,OK
G4_view_minus,D5_roll125,0.1854873958,0.1854874045,4.666e-08,OK
G4_view_minus,D6_roll175,0.1324827662,0.1324827671,6.648e-09,OK
G4_view_minus,E1_R4roll-15,0.1674830004,0.1674829870,7.957e-08,OK
G4_view_minus,E2_R4roll+15,0.1622324343,0.1622324288,3.389e-08,OK
G4_view_minus,F1_edge,0.1567886748,0.1567886770,1.417e-08,OK
G4_view_minus,F2_edge,0.1586395236,0.1586395204,2.033e-08,OK
G4_view_minus,F3_edge,0.1361619291,0.1361619234,4.197e-08,OK
